ID,Name,Type,Lv,Quality,Wuxing,EquipmentSlot,WeaponType,Stack,career,CanDestroy,product_count,effect,effect_value,Duration,cooldown,contain_items,contain_num,Desc
编号,名称,物品类型,等级限制,物品品质,五行,人物部位,武器类型,叠加上限,职业,分解产出ID,分解产出数量,使用效果,效果值,持续时间,冷却时间,包含物品,物品数量,描述
1000000,原木,1,,0,,,,32,,9900002;9900001,1-1;1-1,,,,,,,
1000001,碎石,1,,0,,,,32,,9900002;9900001,1-1;1-1,,,,,,,
1000002,木料,1,,0,,,,32,,9900002;9900001,1-1;1-1,,,,,,,
1000003,石块,1,,0,,,,32,,9900002;9900001,1-1;1-1,,,,,,,
1001000,灵木,1,,1,,,,32,,9900002,1-1,,,,,,,
1001001,玉石,1,,1,,,,32,,9900002,1-1,,,,,,,
1001002,玉石块,1,,1,,,,32,,9900002,1-1,,,,,,,
1001003,星纹钢,1,,2,,,,32,,9900002,1-1,,,,,,,
1001004,十胜石,1,,2,,,,32,,9900002,1-1,,,,,,,
1001005,七星石,1,,2,,,,32,,9900002,1-1,,,,,,,
1001006,万青藤,1,,2,,,,32,,9900002,1-1,,,,,,,
1002000,黑木,1,,2,,,,32,,9900002,1-1,,,,,,,
1002001,雷灵晶,1,,2,,,,32,,9900002,1-1,,,,,,,
1002002,五彩神石,1,,2,,,,32,,9900002,1-1,,,,,,,
1002003,赤晶,1,,3,,,,32,,9900002,1-1,,,,,,,
1002004,髓玉,1,,3,,,,32,,9900002,1-1,,,,,,,
1002005,炼晶,1,,3,,,,32,,9900002,1-1,,,,,,,
1002006,火熔晶,1,,3,,,,32,,9900002,1-1,,,,,,,
1002007,水玉,1,,3,,,,32,,9900002,1-1,,,,,,,
1002008,黄土晶,1,,4,,,,32,,9900002,1-1,,,,,,,
1002009,赤木钢,1,,4,,,,32,,9900002,1-1,,,,,,,
1003000,紫焰石,1,,4,,,,32,,9900002,1-1,,,,,,,
1003001,金石,1,,4,,,,32,,9900002,1-1,,,,,,,
1003002,五行玉,1,,4,,,,32,,9900002,1-1,,,,,,,
1003003,黑晶神砂,1,,4,,,,32,,9900002,1-1,,,,,,,
1100000,妖肉,2,,4,,,,32,,9900002,1-1,,,,,,,
1102000,珍元妖肉,2,,4,,,,32,,9900002,1-1,,,,,,,
1104000,玄晶妖肉,2,,4,,,,32,,9900002,1-1,,,,,,,
1100001,血精草,2,,4,,,,32,,9900002,1-1,,,,,,,
1100002,土鸡蛋,2,,4,,,,32,,9900002,1-1,,,,,,,
1100003,妖兽熟肉,2,,4,,,,32,,9900002,1-1,,,,,,,
1102001,珍元熟肉,2,,4,,,,32,,9900002,1-1,,,,,,,
1104001,玄晶熟肉,2,,4,,,,32,,9900002,1-1,,,,,,,
1104002,龙凤双腿,2,,4,,,,32,,9900002,1-1,,,,,,,
1104003,八极鲜,2,,4,,,,32,,9900002,1-1,,,,,,,
1104004,太玄果,2,,4,,,,32,,9900002,1-1,,,,,,,
1002010,天心花,1,,4,,,,32,,9900002,1-1,,,,,,,
1002011,七星草,1,,4,,,,32,,9900002,1-1,,,,,,,
1002012,赤血灵果,1,,4,,,,32,,9900002,1-1,,,,,,,
1002013,沙木根,1,,4,,,,32,,9900002,1-1,,,,,,,
1002014,玉杏,1,,4,,,,32,,9900002,1-1,,,,,,,
1002015,龙葵花,1,,4,,,,32,,9900002,1-1,,,,,,,
1002016,朝夕露,1,,4,,,,32,,9900002,1-1,,,,,,,
1002017,朱果,1,,4,,,,32,,9900002,1-1,,,,,,,
1002018,葬沙骨,1,,4,,,,32,,9900002,1-1,,,,,,,
1003004,赤血丹砂,1,,4,,,,32,,9900002,1-1,,,,,,,
